,parentId,authorDisplayName,replyComment,publishedAt,likeCount
56,Ugz81v8zylTvtcHBOGx4AaABAg,ITSub잇섭,굿잡,2020-01-16T13:23:43.000Z,0
57,Ugz8ZJ2okB6pqptWSmJ4AaABAg,ITSub잇섭,옵치는 좀 어렵습니다 ㅎㅎ,2020-01-16T13:24:10.000Z,1
58,Ugz2wuoXm_Kpmj9cHiN4AaABAg,가자잇!,@ITSub잇섭 아 그렇군요ㅋㅋ,2020-01-16T13:33:52.000Z,0
59,Ugz2wuoXm_Kpmj9cHiN4AaABAg,ITSub잇섭,사전예약하고 온지 얼마 안되었거든요 ㅎㅎ,2020-01-16T13:25:24.000Z,0
60,Ugzrh1u-7A_azMbHGN14AaABAg,보라해방탄,쉐이크 으음 그러게요 ㅋㅋㅋㅋㅋㅋㅋ 그렇다면 다행이네요 ㅋㅋㅋ,2020-01-16T15:40:14.000Z,0
61,Ugzrh1u-7A_azMbHGN14AaABAg,쉐이크,"키감 좀 안좋아요.. 그램2020보다도 키보드가 얕아서
그래도 쓰다보면 타닥타닥 하는 소리가 좀 찰지긴 해요 ㅋㅋㅋ",2020-01-16T15:31:05.000Z,0
62,Ugwq5mOlXImw6rqHpG94AaABAg,G5 tv,@ITSub잇섭  알겠습니다ㅠㅠ,2020-01-16T13:25:07.000Z,1
63,Ugwq5mOlXImw6rqHpG94AaABAg,ITSub잇섭,저도 요청 후 구입해서 모두 나눠드려서 ㅠㅠ,2020-01-16T13:11:55.000Z,0
64,UgxkFvkujXrioMkWLhV4AaABAg,ITSub잇섭,"AKG 튜닝이라 한번 비교해봤는데,
다음에 그램이랑 비교해야겠어..",2020-01-16T13:12:13.000Z,0
65,UgwqDLtQSms6p3ChIgZ4AaABAg,ITSub잇섭,ㄹㅇ....,2020-01-16T13:12:37.000Z,0
66,Ugy5mVbJUkS3tmg0JBZ4AaABAg,ITSub잇섭,그..그럼 뚜껑이 무겁겠죠!?,2020-01-16T13:12:32.000Z,0
67,Ugy93u214G43ZR1Yk7l4AaABAg,ITSub잇섭,위쪽에 뮤직이라고 적혀있는 곡입니다!,2020-01-16T13:12:23.000Z,0
68,UgwDfFX0LXqD4ay1Tl54AaABAg,돼지귀신tv,그러나 110이라는 세자리수를 감당못하고 보급형을 산다는것이 학계의정설,2020-01-16T13:19:12.000Z,0
69,UgwDfFX0LXqD4ay1Tl54AaABAg,ITSub잇섭,오히려 S의 마감이 더 좋음.,2020-01-16T13:12:47.000Z,0
70,UgwxxiOOUu6Wxj396Uh4AaABAg,Jung Young Yoo,취향존중하겠습니다,2020-01-16T13:14:22.000Z,1
71,UgwxxiOOUu6Wxj396Uh4AaABAg,ITSub잇섭,전 뼈해장국 좋아합니다.,2020-01-16T13:13:09.000Z,1
72,UgxPg2LohNRBTmg_pFR4AaABAg,ITSub잇섭,지금 매일매일 사용 중입니다 ㅎㅎ,2020-01-16T13:13:15.000Z,0
73,UgzrTxRmo4wEXIjdLe54AaABAg,꽁추,@ITSub잇섭 웅ㅇ!,2020-01-16T13:25:08.000Z,0
74,UgzrTxRmo4wEXIjdLe54AaABAg,ITSub잇섭,고..정!?,2020-01-16T13:13:21.000Z,0
75,UgyCodXS7011VuaeACl4AaABAg,ITSub잇섭,감사합니다!,2020-01-16T13:13:25.000Z,0
76,UgxpgVdsOXDRTk5fMkR4AaABAg,시바,스으윽...힣!,2020-01-16T18:27:00.000Z,0
77,UgxpgVdsOXDRTk5fMkR4AaABAg,ITSub잇섭,ㅗㅜㅑ,2020-01-16T13:14:51.000Z,7
78,UgyhvdJFOEOL1NKqwzF4AaABAg,ITSub잇섭,스피커는 그램과 비교해야겠습니다. ㄷㄷ,2020-01-16T13:15:02.000Z,0
