66,근달,ㅋㅋㅋㅋㅋㅋㅋ그냥 죤나 좋닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
67,유리,나온다는 소문 구란줄 알았더니 진짜네... 엌ㅋㅋㅋㄱㄱ답글달아주셨네요
68,국민이개돼지냐,햄버거 안 먹는데 먹어야 겠누많이 사먹으면 철용이형 또 광고찍음 ㅋㅋ
69,후라이팬,0:03
70,Mr.섭풍,진짜 나옴 ㅋㅋㅋㅋ
71,김탱쟈,철용형님 광고하는거좋은데ㅠㅠㅜㅜㅜㅜㅜㅜㅜㅜ확실히 주름이나 인상이 나이가 더드신게 보이는게 더 안타깝습니다ㅜㅜㅜㅜㅜㅠㅜㅜㅜㅜㅠ크엉...
72,JhO,올데이킹은 밈을 위해 태어난 버거인가...
73,김지훈,ㅋㅋㅋㅋㅋ 저아저씨 내 스타일
74,베트남여자Vietgirl,"한국 친구들이 알려줘서 외국인도 한다 '어이~ 젊은 숙녀! 나 믿고 더블로 가~"""
75,joshykang12,zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런 경우가 있었나...응수형 화이팅 꽃길 걸으십쇼 묻고 더블로 가가 이렇게 흥행할줄은.....ㄷㄷ
76,lmh115566,이시간에 5번연달아보는 내인생 쌉레전드~
77,김은겸,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 찍엇네 짱이다👍👍
78,치코Chico,아니 진짜 나오냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
79,JJMOTORCAR2,0:15 이분 4달라 하신 그 아저씨임ㅋㅋ
80,강진영,"진짜 광고모델 찰떡,...철용형님 멋잇어용 ㅠㅠㅠ역시 묻고 더블로 가!!!!!"
81,인간•62년전.,0:19 노란옷 4딸라
82,요시,이거 나올줄알았다 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
83,사성구,진짜 나왔엌ㅋㅋㅋ
84,chrisJu,Believe me and go to the blue!
85,이현무,이걸 진짜 만드네 ㅋㅋㅋㅋ
86,현우킴,와 진짜 나왔넼ㅋㅋㅋㅋㅋㅋ
87,YoungJoonPark,누군 햄버거 수사 안해본줄 아나 ㅋㅋㅋㅋ
88,수수,메이킹 영상도 궁금하다.0:18 버거킹 목소리 멋있고 넘나 좋은것!
89,KiKei,진짜로나왔나? 해서 왓더니 진짜로나옴ㅋㅋㅋㅋ
90,sogood,ㅋㅋㅋㅋㅋㅋㅋ아오 진짜 ㅋㅋㅋ 귀여우셔
91,나영선,30년전부터 버거킹에서 팬미팅한 양준일님 광고 나오게 해주세요. 앞으로 버거킹만 먹는걸로~~~
92,양훈김,0:16 0:19 그분의 옷이 보인다
93,윤종현,ㅋㅋㅋㅋㅋ 이게 진짜로 나오네 ㅋㅋㅋㅋ
94,ZombieCorea,ㅈㄴ웃기네ㅋㅋㅋㄱㅋㅋ
95,SRLowless,0:04 영화랑 똑같다 ㄹㅇㅋㅋ쿠
96,쿨병걸린배놀부,광고 클릭해서 들어온 건 진짜 처음이다 ㅋㅋㅋㅋㅋㅋㅋㅋ
97,UUniverse,사딸라 양반도 줄 서고 있음 ㅋㅋㅋㅋㅋㅋㅋㅋ
98,서꺼이,ㅋㅋㅋㅋㅋㅋㅋㅋ머야이거 철용형님 요즘왜케핫해♡
99,미연김,봐도바도 좋앜ㅋㅋㅋ 아이돌도 안파는데 ㅋㅋㅋㅋㅋ 김응수 아저씨 좋아서 버거킹 다녀옴ㅋㅋㅋㅋ
100,Happyoutube,미친... ㅎㅎㅎ 진짜 광고로 나왔네... ㅋㅋㅋ 먹으러 가야겠다... ㅋㅋㅋ
101,카ryo,아 미친ㅋㅋㅋ 진짜로 찍었엌ㅋㅋㅋㅋ ㄴㅇㅅ!!
102,황신영,와... 조회수 미쳤네.. ㅋㅋㅋㅋㅋㅋ 오늘 점심은 묻고 떠블로 간다!!
103,고등생,ㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㅋ드디어나왔다
104,김홍민,미쳤다 ㅋㄱㄱㅋ 센스 있구먼유 ㅋㅋㄱㄱㅋ
105,정수민,아 진짜 광고 왠만하면 안보는데 ㅋㅋㅋㅋ
106,kimdaddy,ㅋㅋㅋㅋㅋㅋ 개웃기넼ㅋㅋㅋㅋ 잘어울린다 ㅋㅋㅋㅋㅋ
107,이정리,ㅋㅋㅋㅋ아놔 이게 내 결론이다에서 빵터짐요 ㅋㅋㅋㅋ 곽철용 만세
108,JI,와 씨바 이거 광고로 나올거같다는 사람 봤는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
109,오,ㅋㅋㅋㅋㅋ
110,iohccm,진짜똑같애ㅋㅋㅋㅋㅋㅋㅋ
111,구름의행방,ㅋㅋㅋㅋㅋㅋㅋㅋ아 너무 웃기네요
112,해딱,김영철 사딸라도 찍더니ㅋㅋㅋㅋㅋㅋㅋ 버거킹이 캐스팅 하나는 잘한다 진짜
113,DarkDark,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 더블 겁나 좋아 ㅋㅋ
114,내가뭐하는지안궁금해?,0:16 0:19사달라 그는 대체...
115,좋아하는사람이있다어떻게고백하지?,버거킹은 유행을 좋아하누ㅋㅋㅋㅋㅋ그래서 좋닼ㅋㅋㅋ
116,김민주,곽철용 상남잨ㅋㅋㅋ 광고 찾아본건 첨임ㅋㅋㅋ
117,악플다는스님,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 묻고 떠블로가 ㅋㅋ
118,나엄정화났어,왘ㅋㅋㅋㅋㅋ원래 사람들이 원하는건 절대 안 이루어지는데 이루어졌다ㅋㅋㅋㅋㅋㅋㅋ개웃기네 버거킹일 잘혀~~???
119,이동화,아 너무좋다ㅋㅋ 역시 응수형님^^  완전 팬입니다ㅎㅎ
120,이동영,아 ㅋㅋ 진짜 광고였네 ㅋㅋㅋ 누가 또 합성한줄 ㅋㅋㅋㅋ
121,도봉구도봉동도봉순,0:16 0:20김영철 ㄷㄷㄷ버거킹 세계관 확장인가
122,Baglall,by Iron Dragon
123,진지충,ㅋㅋㅋㅋ 아~ 만족스럽다ㅋㅋㅋ
124,어하,아 ㅈㄴ웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케
125,그레인저계정,와 ㅋㅋㅋㅋ  상상했던게 실제로 이루어져버리네 ㄲㅋㄱ
126,성욱,살면서 광고 눌러서본거 두번째다 ㅋㅋㅋㅋ 첫번째는 4딸라
127,오꾸닭,ㅋㅋㅋㅋ 설마설마했는데 진짜 광고찍었네
128,LEEChan,ㄹㅇ 찍었넼ㅋㅋㅋㅋㅋㅋ
129,응으,버거킹은 사딸라형님도 그렇고 이번에도ㅋㅋㅋ 대단
130,리니셜,알바분 너무 이쁘셔 ㅠ
131,HYSeo,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋ철용좤ㅋㅋㅋㅋㅋㅋ
132,설빙하,ㅋㅋㅋㅋㅋㅋㅋ진짜로 찍었네 광고 볼라고 누른건 처음..
133,sunnysunny,아~ㅋㅋ 결국 광고 찍으셨네ㅋㅋㅋ
134,효신,이형님 때문에 타짜 9번 봤어요ㅋㅋㅋ 사랑해요 철용곽
135,충아라미스,ㅋㅋㅋ하여튼 연기를 잘하시니까. 어울리네요. ㆍ나도 믿고 더블로 가까요
136,김홍준,유튜브에서 광고 처음 찾아들어옴ㅋㅋㅋ
137,김민우,ㅋㅋ강하고 묵직하다 임팩트쩐다.. 역시 👍
138,VLbrothers,버거 유니버스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뒤지게 웃었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
139,쿠오우워,역시 갓거킹 실행에 옮기는구나ㅋㅋㅋ
140,repair4488,ㅋㅋㅋㅋㅋㅋㅋㅋ.  형님 파이팅입니다 버거킹도 파이팅!!
141,월하군,뒤에 사달라형님은 뭔데 ㅋㅋㅋ
142,이은철,ㅋㅋㅋㅋㅋ 내스스로 광고를 클릭해서 보다니
143,Kim궁딩,늬미ㅋㅋㅋㅋㅋㅋㅋ생각만했던게현실이되다늬ㅋㅋㅋㅋㅋㅋㅋㅋ철용이형♡♡♡♡♡♡
144,박준연,결국 찍으셨군욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
145,유동우,진짜 역대 광고효과 창출하겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
146,최욱,와 진짜 광고로 만들어 질줄은 몰랐네요^^ 철용형님 묻고 더블로가겠습니다
147,권성진,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜나왔네
148,공장마스터,겁나웃기네ㅋㅋㅋㅋ
